,portfolio
0,108400.73895463417
1,104453.79751535808
2,103138.15716206796
3,104120.7185874162
4,102313.78730084456
5,101381.17035897273
6,101039.77414245333
7,103496.20835189064
8,102913.32531124674
9,101256.2683036914
10,101547.70982443087
11,103029.8998805098
12,101381.17035375831
13,101472.78288037231
14,101189.65863760139
15,99391.05481230984
16,100923.19956777271
17,100440.24633019752
18,100623.430562611
19,100347.55204699143
20,101007.99498773992
21,104218.29100739343
22,103624.72306800775
23,104611.22373732398
24,103307.03364424124
25,103591.28046466502
26,101275.5256089002
27,101359.12701459932
28,98959.76054786115
29,98683.88203220001
30,99737.25770297532
31,100247.2242366988
32,99135.33166402912
33,100447.86965143167
34,100740.47457138462
35,100548.18725617259
36,100615.07246283322
37,101141.76540084924
38,102119.89776545102
39,102479.38789206526
40,102980.99632627142
41,103691.60827473021
42,103791.92587947159
43,103156.55723719356
44,101752.04953931601
45,101685.17453790501
46,101116.68089703794
47,100230.50803765666
48,100665.2312652023
49,100263.95064098702
50,99528.25418871781
51,99921.1767134129
52,99478.09538634712
53,100447.86965142949
54,101267.16750939976
55,99812.50100915135
56,100681.95766949236
57,101007.99498752672
58,100447.86965142949
59,100523.11295761038
60,100389.35274953865
61,102395.78648636412
62,103942.41249183378
63,108122.48277688686
64,107988.7123635654
65,106584.21487093739
66,106851.73528708088
67,109568.7809723654
68,109802.86899042825
69,111249.16718590682
70,109936.62919849998
71,109761.06828757773
72,109618.93977473608
73,108649.16550965371
74,110571.99784077813
75,109058.81443863886
76,110003.51440516073
77,110346.27812748514
78,111859.46152962442
79,111809.30272725374
80,112478.11397286224
81,112427.95517049154
82,112519.91467571277
83,112478.11397286224
84,115002.87234293441
85,114793.86882868175
86,113899.3378697803
87,114217.0170882945
88,116741.78566361638
89,116198.37652655948
90,116541.1402488839
91,116424.09623985247
92,114768.79453012127
93,114141.7839873633
94,113874.25336597009
95,114292.26039447538
96,114492.90580920788
97,113355.92873272339
98,113982.93927548135
99,114660.10862061
100,115621.52478617223
101,115596.44028236202
102,114434.38890731703
103,114609.94981823933
104,114609.94981823933
105,116340.4948341514
106,117201.59339497224
107,116808.66066502742
108,115763.64309376414
109,115847.24449946519
110,114710.2674229807
111,114225.38539306437
112,116783.58636646692
113,117218.30959401255
114,118614.45919237011
115,117427.31310826521
116,111533.41400634033
117,111249.1671859068
118,108440.16199540105
119,108833.09472534587
120,109493.5376661845
121,106952.06309707198
122,107453.67153127835
123,107453.67153127835
124,107378.42822509744
125,103674.88187044051
126,102036.29635974964
127,102922.46921913096
128,102746.90830820867
129,101375.84321366131
130,100907.6773827853
131,102262.01607304263
132,101785.49214264646
133,102153.34036878108
134,101735.33334027577
135,105639.51490441547
136,107286.46871987623
137,106166.20784243205
138,106784.86028566986
139,107687.74934409148
140,107428.58702746815
141,108281.31728351909
142,106626.0155737879
143,104176.4903046469
144,105639.51490441547
145,104460.73712508044
146,105990.64693150975
147,103332.1181481161
148,104159.77410560657
149,104878.74415358577
150,104945.62936024649
151,102412.50268540443
152,103106.39843482313
153,102027.9382602295
154,99026.64575451141
155,97939.82748039762
156,101651.73193457471
157,102939.19562342101
158,104544.33853078152
159,103273.60124622525
160,101718.60693598574
161,101885.80974738786
162,100924.39358182564
163,102128.25586497087
164,102337.25937922353
165,103215.07413908468
166,101267.16750939976
167,103741.76707710126
168,103189.9998405242
169,103524.40546332844
170,103633.08116758999
171,98198.98979702097
172,97847.86797517638
173,99962.97741626343
174,98399.63521175346
175,94570.68674854492
176,94562.32864902477
177,98173.91549846047
178,96685.80639488169
179,98374.55070794324
180,95440.14340888591
181,97864.58417421671
182,97797.7091728057
183,99611.85559441884
184,99469.73728682693
185,98633.72322981631
186,99369.40947683583
187,97806.06727232585
188,96501.88738443924
189,99678.74080107959
190,101609.93123172417
191,104661.38253981294
