,portfolio
0,102195.41971262202
1,102249.14212158027
2,102250.79418749109
3,102228.4799476238
4,102287.15981543352
5,102117.72973676665
6,101973.09451907134
7,102139.21920479755
8,102111.94498384073
9,101829.28659545047
10,101421.82786924695
11,101963.17707913033
12,101968.13579910084
13,101888.79375733463
14,101972.26848611594
15,101830.11262840588
16,101877.22299036376
17,102012.76680107346
18,102014.41886698428
19,101611.09408891489
20,101830.93992248032
21,101935.9028581735
22,102158.22805172417
23,102124.34178376701
24,101879.70235034902
25,101968.96309317526
26,101588.77858792857
27,101473.07091821994
28,101543.32155300053
29,101682.99805072532
30,101866.47825634832
31,102648.33547375358
32,102562.38012386802
33,102634.28408567846
34,102728.50480959422
35,102755.77776943202
36,102778.91930337375
37,102777.26723746293
38,102807.84685136043
39,102762.38981643239
40,102992.98038401327
41,102938.43194209962
42,102993.80641696867
43,102948.34938204063
44,102940.91130208487
45,103097.94331970645
46,103045.87549889708
47,103022.73396495535
48,102611.14255173673
49,102741.72764247592
50,102724.37212257912
51,102620.23395872234
52,103091.33253382512
53,102830.98838530216
54,102944.21669502553
55,102986.36833701291
56,103356.63414119957
57,103145.05368166434
58,103076.45511279456
59,102868.1800462
60,103093.81189381037
61,103156.6244486352
62,103009.50987095464
63,102987.19436996832
64,103055.79293883809
65,103169.84854263591
66,103192.99007657764
67,103376.47028220062
68,103802.11056125634
69,104081.46355670593
70,104012.03895488074
71,103887.23861706749
72,103873.18849011137
73,103593.83549466178
74,103426.88603709918
75,103765.74493331391
76,103774.83634029952
77,103738.47071235708
78,103537.6349868373
79,103375.6429881262
80,103178.11265554708
81,103088.02587976542
82,103028.51871788126
83,103091.33253382512
84,103029.3460119557
85,102660.73227367987
86,102442.53976714428
87,102522.70910298491
88,102798.75544437482
89,102671.47700769531
90,102657.42688073919
91,102712.80135560826
92,102642.54945970865
93,102571.47153085363
94,102559.07473092734
95,102587.17498483958
96,102286.33378247812
97,102054.91718194183
98,102183.84894565117
99,102526.84179
100,102982.2356499978
101,103063.23101879386
102,102811.97953837553
103,102854.12991924389
104,102670.6497136209
105,102717.76007557877
106,102761.56378347697
107,102900.41298712733
108,102831.81567937658
109,102753.29840944678
110,103016.121917955
111,103305.3923533456
112,103659.12867059089
113,103808.7226082567
114,103890.54527112718
115,104125.26726460413
116,104164.93828548724
117,103966.5819199527
118,103662.43406353155
119,103520.27820582151
120,103920.29885206926
121,103864.9243772002
122,104417.01705998
123,104417.01705998
124,104331.06297121344
125,104336.02169118395
126,103946.74577895165
127,104016.99767485126
128,104404.62026005372
129,104281.4732492703
130,104667.44250744292
131,104797.20156522669
132,105497.2361197615
133,104737.69440334252
134,104355.856571066
135,104721.16365528214
136,104925.30603486161
137,105120.35700745547
138,105062.50317260114
139,105470.78793176007
140,105967.50613967082
141,105932.79383875823
142,105975.77151370102
143,105568.3127874975
144,105785.67926107766
145,105560.04867458632
146,106051.80816252655
147,105752.62028719492
148,105996.4336876575
149,105978.25087368628
150,106060.07353655675
151,106515.46739655455
152,106588.19865243942
153,106324.54911097579
154,106215.45222714849
155,105035.22895164433
156,105352.60090206619
157,105178.2121034288
158,104562.47831063071
159,104892.24706097886
160,104870.75885406698
161,104765.79465725477
162,103942.61309193655
163,104226.09877440124
164,104927.78539484687
165,104926.13332893603
166,104521.15396271778
167,105038.535605704
168,104245.10762132787
169,104544.2954966595
170,105028.61690464398
171,104745.1324832983
172,104632.73020653034
173,104859.1880870961
174,104821.16913212383
175,104983.16113083494
176,105150.93788247198
177,105650.9614833234
178,105735.26350617912
179,105851.79846996219
180,105833.61565599097
181,106026.18726859958
182,106189.00530026609
183,106307.19232995999
184,106274.13335607723
185,106298.10092297438
186,106382.40294583011
187,106207.1881142373
188,106137.76351241213
189,106402.23908683116
190,106549.35366451173
191,106617.9522333815
