,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,100000.0
84,100000.0
85,100000.0
86,100000.0
87,100000.0
88,100000.0
89,100000.0
90,100000.0
91,100000.0
92,100000.0
93,100000.0
94,100000.0
95,100000.0
96,100000.0
97,100000.0
98,100000.0
99,100000.0
100,100000.0
101,100000.0
102,100000.0
103,100000.0
104,100000.0
105,100000.0
106,100000.0
107,100000.0
108,100000.0
109,100000.0
110,100000.0
111,100000.0
112,100000.0
113,100000.0
114,100000.0
115,100000.0
116,100000.0
117,100000.0
118,100000.0
119,100000.0
120,100000.0
121,100000.0
122,100000.0
123,100000.0
124,100000.0
125,100000.0
126,100000.0
127,100000.0
128,100000.0
129,100000.0
130,100000.0
131,100000.0
132,100000.0
133,100000.0
134,100000.0
135,100000.0
136,100000.0
137,100000.0
138,100000.0
139,100000.0
140,100000.0
141,100000.0
142,100000.0
143,100000.0
144,100000.0
145,100000.0
146,100000.0
147,100000.0
148,100000.0
149,100000.0
150,100000.0
151,100000.0
152,100000.0
153,100000.0
154,100000.0
155,100000.0
156,100000.0
157,100000.0
158,100000.0
159,100000.0
160,100000.0
161,100000.0
162,100000.0
163,100000.0
164,100000.0
165,100000.0
166,100000.0
167,100000.0
168,100000.0
169,100000.0
170,100000.0
171,100000.0
172,100000.0
173,100000.0
174,100000.0
175,100000.0
176,100000.0
177,100000.0
178,100000.0
179,100000.0
180,100000.0
181,100000.0
182,100000.0
183,100000.0
184,100000.0
185,100000.0
186,100000.0
187,100000.0
188,100000.0
189,100000.0
190,100000.0
191,100000.0
192,100000.0
193,100000.0
194,100000.0
195,100000.0
196,100000.0
197,100000.0
198,100000.0
199,100000.0
200,100000.0
201,100000.0
202,100000.0
203,100000.0
204,100000.0
205,100000.0
206,100000.0
207,100000.0
208,100000.0
209,100000.0
210,100000.0
211,100000.0
212,100000.0
213,100000.0
214,100000.0
215,100000.0
216,100000.0
217,100000.0
218,100000.0
219,100000.0
220,100000.0
221,100000.0
222,100000.0
223,100000.0
224,100000.0
225,100000.0
226,100000.0
227,100000.0
228,100000.0
229,100000.0
230,100000.0
231,100000.0
232,100000.0
233,100000.0
234,100000.0
235,100000.0
236,100000.0
237,100000.0
238,100000.0
239,100000.0
240,100000.0
241,100000.0
242,100000.0
243,100000.0
244,100000.0
245,100000.0
246,100000.0
247,100000.0
248,100000.0
249,100000.0
250,100000.0
251,100000.0
252,100000.0
253,100000.0
254,100000.0
255,100000.0
256,100000.0
257,100000.0
258,100000.0
259,100000.0
260,100000.0
261,100000.0
262,100000.0
263,100000.0
264,100000.0
265,100000.0
266,100000.0
267,100000.0
268,100000.0
269,100000.0
270,100000.0
271,100000.0
272,100000.0
273,100000.0
274,100000.0
275,100000.0
276,100000.0
277,100000.0
278,100000.0
279,100000.0
280,100000.0
281,100000.0
282,100000.0
283,100000.0
284,100000.0
285,100000.0
286,100000.0
287,100000.0
288,100000.0
289,100000.0
290,100000.0
291,100000.0
292,100000.0
293,100000.0
294,100000.0
295,100000.0
296,100000.0
297,100000.0
298,100000.0
299,100000.0
300,100000.0
301,100000.0
302,100000.0
303,100000.0
304,100000.0
305,100000.0
306,100000.0
307,100000.0
308,100000.0
309,100000.0
310,100000.0
311,100000.0
312,100000.0
313,100000.0
314,100000.0
315,100000.0
316,100000.0
317,100000.0
318,100000.0
319,100000.0
320,100000.0
321,100000.0
322,100000.0
323,100000.0
324,100000.0
325,100000.0
326,100000.0
327,100000.0
328,100000.0
329,100000.0
330,100000.0
331,100000.0
332,100000.0
333,100000.0
334,100000.0
335,100000.0
336,100000.0
337,100000.0
338,100000.0
339,100000.0
340,100000.0
341,100000.0
342,100000.0
343,100000.0
344,100000.0
345,100000.0
346,100000.0
347,100000.0
348,100000.0
349,100000.0
350,100000.0
351,100000.0
352,100000.0
353,100000.0
354,100000.0
355,100000.0
356,100000.0
357,100000.0
358,100000.0
359,100000.0
360,100000.0
361,100000.0
362,100000.0
363,100000.0
364,100000.0
365,100000.0
366,100000.0
367,100000.0
368,100000.0
369,100000.0
370,100000.0
371,100000.0
372,100000.0
373,100000.0
374,100000.0
375,100000.0
376,100000.0
377,100000.0
378,100000.0
379,100000.0
380,100000.0
381,100000.0
382,100000.0
383,100000.0
384,100000.0
385,100000.0
386,100000.0
387,100000.0
388,100000.0
389,100000.0
390,100000.0
391,100000.0
392,100000.0
393,100000.0
394,100000.0
395,100000.0
396,100000.0
397,100000.0
398,100000.0
399,100000.0
400,100000.0
401,100000.0
402,100000.0
403,100000.0
404,100000.0
405,100000.0
406,100000.0
407,100000.0
408,100000.0
409,100000.0
410,100000.0
411,100000.0
412,100000.0
413,100000.0
414,100000.0
415,100000.0
416,100000.0
417,100000.0
418,100000.0
419,100000.0
420,100000.0
421,100000.0
422,100000.0
423,100000.0
424,100000.0
425,100000.0
426,100000.0
427,100000.0
428,100000.0
429,100000.0
430,100000.0
431,100000.0
432,100000.0
433,100000.0
434,100000.0
435,100000.0
436,100000.0
437,100000.0
438,100000.0
439,100000.0
440,100000.0
441,100000.0
442,100000.0
443,100000.0
444,100000.0
445,100000.0
446,100000.0
447,100000.0
448,100000.0
449,100000.0
450,100000.0
451,100000.0
452,100000.0
453,100000.0
454,100000.0
455,100000.0
456,100000.0
457,100000.0
458,100000.0
459,100000.0
460,100000.0
461,100000.0
462,100000.0
463,100000.0
464,100000.0
465,100000.0
466,100000.0
467,100000.0
468,100000.0
469,100000.0
470,100000.0
471,100000.0
472,100000.0
473,100000.0
474,100000.0
475,100000.0
476,100000.0
477,100000.0
478,100000.0
479,100000.0
480,100000.0
481,100000.0
482,100000.0
483,100000.0
484,100000.0
485,100000.0
486,100000.0
487,100000.0
488,100000.0
489,100000.0
490,100000.0
491,100000.0
492,100000.0
493,100000.0
494,100000.0
495,100000.0
496,100000.0
497,100000.0
498,100000.0
499,100000.0
500,100000.0
501,100000.0
502,100000.0
503,100000.0
504,100000.0
505,100000.0
506,100000.0
507,100000.0
508,100000.0
509,100000.0
510,100000.0
511,100000.0
512,100000.0
513,100000.0
514,100000.0
515,100000.0
516,100000.0
517,100000.0
518,100000.0
519,100000.0
520,100000.0
521,100000.0
522,100000.0
523,100000.0
524,100000.0
525,100000.0
526,100000.0
527,100000.0
528,100000.0
529,100000.0
530,100000.0
531,100000.0
532,100000.0
533,100000.0
534,100000.0
535,100000.0
536,100000.0
537,100000.0
538,100000.0
539,100000.0
540,100000.0
541,100000.0
542,100000.0
543,100000.0
544,100000.0
545,100000.0
546,100000.0
547,100000.0
548,100000.0
549,100000.0
550,100000.0
551,100000.0
552,100000.0
553,100000.0
554,100000.0
555,100000.0
556,100000.0
557,100000.0
558,100000.0
559,100000.0
560,100000.0
561,100000.0
562,100000.0
563,100000.0
564,100000.0
565,100000.0
566,100000.0
567,100000.0
568,100000.0
569,100000.0
570,100000.0
571,100000.0
572,100000.0
573,100000.0
574,100000.0
575,100000.0
576,100000.0
577,100000.0
578,100000.0
579,100000.0
580,100000.0
581,100000.0
582,100000.0
583,100000.0
584,100000.0
585,100000.0
586,100000.0
587,100000.0
588,100000.0
589,100000.0
590,100000.0
591,100000.0
592,100000.0
593,100000.0
594,100000.0
595,100000.0
596,100000.0
597,100000.0
598,100000.0
599,100000.0
600,100000.0
601,100000.0
602,100000.0
603,100000.0
604,100000.0
605,100000.0
606,100000.0
607,100000.0
608,100000.0
609,100000.0
610,100000.0
611,100000.0
612,100000.0
613,100000.0
614,100000.0
615,100000.0
616,100000.0
617,100000.0
618,100000.0
619,100000.0
620,100000.0
621,100000.0
622,100000.0
623,100000.0
624,100000.0
625,100000.0
626,100000.0
627,100000.0
628,100000.0
629,100000.0
630,100000.0
631,100000.0
632,100000.0
633,100000.0
634,100000.0
635,100000.0
636,100000.0
637,100000.0
638,100000.0
639,100000.0
640,100000.0
641,100000.0
642,100000.0
643,100000.0
644,100000.0
645,100000.0
646,100000.0
647,100000.0
648,100000.0
649,100000.0
650,100000.0
651,100000.0
652,100000.0
653,100000.0
654,100000.0
655,100000.0
656,100000.0
657,100000.0
658,100000.0
659,100000.0
660,100000.0
661,100000.0
662,100000.0
663,100000.0
664,100000.0
665,100000.0
666,100000.0
667,100000.0
668,100000.0
669,100000.0
670,100000.0
671,100000.0
672,100000.0
673,100000.0
674,100000.0
675,100000.0
676,100000.0
677,100000.0
678,100000.0
679,100000.0
680,100000.0
681,100000.0
682,100000.0
683,100000.0
684,100000.0
685,100000.0
686,100000.0
687,100000.0
688,100000.0
689,100000.0
690,100000.0
691,100000.0
692,100000.0
693,100000.0
694,100000.0
695,100000.0
696,100000.0
697,100000.0
698,100000.0
699,100000.0
700,100000.0
701,100000.0
702,100000.0
703,100000.0
704,100000.0
705,100000.0
706,100000.0
707,100000.0
708,100000.0
709,100000.0
710,100000.0
711,100000.0
712,100000.0
713,100000.0
714,100000.0
715,100000.0
716,100000.0
717,100000.0
718,100000.0
719,100000.0
720,100000.0
721,100000.0
722,100000.0
723,100000.0
724,100000.0
725,100000.0
726,100000.0
727,100000.0
728,100000.0
729,100000.0
730,100000.0
731,100000.0
732,100000.0
733,100000.0
734,100000.0
735,100000.0
736,100000.0
737,100000.0
738,100000.0
739,100000.0
740,100000.0
741,100000.0
742,100000.0
743,100000.0
744,100000.0
745,100000.0
746,100000.0
747,100000.0
748,100000.0
749,100000.0
750,100000.0
751,100000.0
752,100000.0
753,100000.0
754,100000.0
755,100000.0
756,100000.0
757,100000.0
758,100000.0
759,100000.0
760,100000.0
761,100000.0
762,100000.0
763,100000.0
764,100000.0
765,100000.0
766,100000.0
767,100000.0
768,100000.0
769,100000.0
770,100000.0
771,100000.0
772,100000.0
773,100000.0
774,100000.0
775,100000.0
776,100000.0
777,100000.0
778,100000.0
779,100000.0
780,100000.0
781,100000.0
782,100000.0
783,100000.0
784,100000.0
785,100000.0
786,100000.0
787,100000.0
788,100000.0
789,100000.0
790,100000.0
791,100000.0
792,100000.0
793,100000.0
794,100000.0
795,100000.0
796,100000.0
797,100000.0
798,100000.0
799,100000.0
800,100000.0
801,100000.0
802,100000.0
803,100000.0
804,100000.0
805,100000.0
806,100000.0
807,100000.0
808,100000.0
809,100000.0
810,100000.0
811,100000.0
812,100000.0
813,100000.0
814,100000.0
815,100000.0
816,100000.0
817,100000.0
818,100000.0
819,100000.0
820,100000.0
821,100000.0
822,100000.0
823,100000.0
824,100000.0
825,100000.0
826,100000.0
827,100000.0
828,100000.0
829,100000.0
830,100000.0
831,100000.0
832,100000.0
833,100000.0
834,100000.0
835,100000.0
836,100000.0
837,100000.0
838,100000.0
839,100000.0
840,100000.0
841,100000.0
842,100000.0
843,100000.0
844,100000.0
845,100000.0
846,100000.0
847,100000.0
848,100000.0
849,100000.0
850,100000.0
851,100000.0
852,100000.0
853,100000.0
854,100000.0
855,100000.0
856,100000.0
857,100000.0
858,100000.0
859,100000.0
860,100000.0
861,100000.0
862,100000.0
863,100000.0
864,100000.0
865,100000.0
866,100000.0
867,100000.0
868,100000.0
869,100000.0
870,100000.0
871,100000.0
872,100000.0
873,100000.0
874,100000.0
875,100000.0
876,100000.0
877,100000.0
878,100000.0
879,100000.0
880,100000.0
881,100000.0
882,100000.0
883,100000.0
884,100000.0
885,100000.0
886,100000.0
887,100000.0
888,100000.0
889,100000.0
890,100000.0
891,100000.0
892,100000.0
893,100000.0
894,100000.0
895,100000.0
896,100000.0
897,100000.0
898,100000.0
899,100000.0
900,100000.0
901,100000.0
902,100000.0
903,100000.0
904,100000.0
905,100000.0
906,100000.0
907,100000.0
908,100000.0
909,100000.0
910,100000.0
911,100000.0
912,100000.0
913,100000.0
914,100000.0
915,100000.0
916,100000.0
917,100000.0
918,100000.0
919,100000.0
920,100000.0
921,100000.0
922,100000.0
923,100000.0
924,100000.0
925,100000.0
926,100000.0
927,100000.0
928,100000.0
929,100000.0
930,100000.0
931,100000.0
932,100000.0
933,100000.0
934,100000.0
935,100000.0
936,100000.0
937,100000.0
938,100000.0
939,100000.0
940,100000.0
941,100000.0
942,100000.0
943,100000.0
944,100000.0
945,100000.0
946,100000.0
947,100000.0
948,100000.0
949,99900.0
950,101463.964135624
951,101240.8759457776
952,101036.89001744491
953,100954.56552847207
954,101306.49713119595
955,100051.51431061001
956,95357.2527464988
957,95618.50820847259
958,96627.73939165962
959,98399.28044237515
960,98891.95339543259
961,99360.7932226779
962,100040.76370087356
963,100380.76756542138
964,100690.94090925905
965,100965.30868802853
966,99076.88176333158
967,98742.83059260178
968,98828.74606833344
969,98437.44026432255
970,100076.57671612174
971,99357.20968609909
972,100517.94772971612
973,105432.90597589452
974,104127.81324464513
975,104165.99541713252
976,104009.7129913241
977,107824.7713637454
978,108038.31587301493
979,111334.43940788743
980,111046.9220614223
981,112656.21309215136
982,113314.71960177408
983,113776.39235586177
984,114412.22796775198
985,114087.75772849904
986,113966.08138877917
987,113521.097037886
988,116385.37833938099
989,116442.64042284209
990,114617.42827542429
991,115142.3232569711
992,114761.77551287666
993,113564.06967611182
994,106550.69373182574
995,104043.11214825306
996,106514.61251009765
997,102504.26256940077
998,103563.64836433125
999,101056.27538579851
1000,96296.236182489
1001,96388.30550689861
1002,89302.6255657364
1003,94520.61988331482
1004,87817.57373664636
1005,82379.57560374051
1006,73208.62753216628
1007,65669.78294247357
1008,70591.25264596983
1009,54192.33364546031
1010,59167.60854889883
1011,61831.61038660989
1012,66808.08849411801
1013,60796.13966947154
1014,53617.21327546007
1015,52988.27653024758
1016,53073.167606229574
1017,52789.78883475307
1018,53886.243000261304
1019,55788.586861193675
1020,61024.524937296184
1021,54698.115190223456
1022,52190.74593678071
1023,53088.712406794446
1024,55196.71848655896
1025,55199.11371942816
1026,50213.077030983215
1027,51372.89125228055
1028,51951.61005921961
1029,47259.7176523476
1030,48881.07797467267
1031,53282.413361640545
1032,54916.93070184126
1033,55434.65861023045
1034,49732.40631790179
1035,47883.86765691168
1036,50368.51386136192
1037,49275.6469575225
1038,48405.18282696968
1039,48187.57796960147
1040,49494.46991932028
1041,51678.98934765955
1042,50506.01810848655
1043,49895.02139670814
1044,46359.36339964466
1045,46989.488448566764
1046,48851.18412743255
1047,47593.31808718754
1048,45323.89268250628
1049,43738.40497686939
1050,46307.945982391626
1051,46576.983157372844
1052,46719.2666949659
1053,51674.20633210112
1054,56106.63504528873
1055,57677.78115443038
1056,55313.8949175603
1057,57162.437303640385
1058,59957.96834411807
1059,58435.84441936026
1060,58245.73072618298
1061,55932.07360285635
1062,58592.48445380858
1063,56230.989724717714
1064,56556.22360742041
1065,57297.55004298583
1066,60405.15422320053
1067,64533.86889860834
1068,67922.47151779034
1069,72351.30551912914
1070,70173.95316394752
1071,71869.43532706812
1072,69433.8299324517
1073,68344.55401537109
1074,67700.0687445037
1075,70639.07535137405
1076,70886.5852312524
1077,70103.40740955078
1078,74343.32719669191
1079,80157.98407973348
1080,76716.78318976883
1081,79633.07419782666
1082,79254.0462904517
1083,77351.69497933936
1084,76307.85025988375
1085,75310.65111739276
1086,76639.05546185448
1087,78946.7487160931
1088,82299.46381822694
1089,78735.10400272293
1090,77791.71006017418
1091,78863.04594382072
1092,77764.21144580326
1093,75834.35407013996
1094,77471.2480177599
1095,78539.00781500763
1096,76961.88666150798
1097,77751.0544279276
1098,75914.46585565354
1099,77375.60260695148
1100,78010.51439652199
1101,79996.55357954674
1102,82844.69779116705
1103,82334.1444061155
1104,82679.69865476148
1105,81743.47178537038
1106,81776.95289427934
1107,79659.36588303799
1108,80943.55340921429
1109,81782.92793863737
1110,81544.98408987587
1111,81158.78165916329
1112,81051.1563589188
1113,83508.30767408811
1114,87115.7146296179
1115,87179.085860677
1116,86867.01272093997
1117,87782.90804911779
1118,83406.67231856164
1119,87138.43022843043
1120,87731.48690677475
1121,86560.91462556097
1122,86013.27424448164
1123,83821.58029280475
1124,83698.42136726539
1125,81853.48114321409
1126,83667.33921631564
1127,84760.19866997507
1128,82280.33175599326
1129,84018.87595949965
1130,84212.55828889576
1131,83027.64441118669
1132,83095.7912076242
1133,79636.65773440548
1134,78987.4043483397
1135,77572.89827364638
1136,72432.61678362232
1137,75064.33326631403
1138,79756.23312336604
1139,78790.10868164476
1140,78403.90625093221
1141,82330.55341935667
1142,80898.11476140929
1143,83000.74983505943
1144,83000.74983505943
1145,83000.74983505943
1146,82917.74908522436
1147,83150.16219083703
1148,81785.65878266798
1149,84271.00983738509
1150,80339.91862048858
1151,80754.77574150516
1152,81650.70019593085
1153,81524.49281788718
1154,80792.26423782101
1155,82831.52943658429
1156,82892.7411828014
1157,82317.96428726189
1158,86300.28588957031
1159,84239.7655309021
1160,84470.94069863019
1161,82695.33291196259
1162,85464.34302925001
1163,87238.68952071447
1164,89004.3159465769
1165,93388.98293291756
1166,94484.8538201341
1167,96590.34480283564
1168,105176.02017954705
1169,106681.71857851326
1170,107418.95341052774
1171,109362.00981407288
1172,109330.78107913562
1173,112159.74943320986
1174,116302.02973890552
1175,113373.06091823085
1176,117853.9600571082
1177,120243.1023166072
1178,120223.10066613255
1179,117201.69915007637
1180,120488.0115876585
1181,122675.97726225495
1182,121483.90536559318
1183,120554.24515736963
1184,121642.60277377727
1185,121840.02661616179
1186,120692.94091507906
1187,119760.78147376778
1188,121060.32039320172
1189,119827.00725770606
1190,121052.81490816569
1191,122422.3167825102
1192,128016.56586867242
1193,128618.83432817689
1194,132120.09638284906
1195,131265.4053814844
1196,126001.02391981038
1197,125240.05805212182
1198,127176.86248006123
1199,129576.00945768399
1200,130055.82328166283
1201,129965.87424782332
1202,133305.88516081366
1203,132332.5234095328
1204,131956.4082942624
1205,130358.21491373179
1206,127929.09271060205
1207,125712.3897483832
1208,126979.43085190386
1209,127004.43096855395
1210,124561.55130478245
1211,126009.78291427672
1212,122528.53808162492
1213,121890.00349214343
1214,122046.20945301266
1215,117953.92159484433
1216,123934.274942855
1217,124504.07672953764
1218,127911.59807898798
1219,124144.87967047223
1220,124144.87967047223
1221,124144.87967047223
1222,124144.87967047223
1223,124144.87967047223
1224,124144.87967047223
1225,124144.87967047223
1226,124144.87967047223
1227,124144.87967047223
1228,124144.87967047223
1229,124144.87967047223
1230,124144.87967047223
1231,124144.87967047223
1232,124144.87967047223
