Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Stoch_K,Stoch_D,ROC,Williams_R,BB_Upper,BB_Middle,BB_Lower,ATR,OBV,CMF,Target
2015-03-16,373.8602294921875,375.4959815901115,366.0449694687728,367.1354708673888,7937836,371.64738464355474,333.23059448242196,369.4096127089104,357.9696580928877,11.439954616022703,14.073132946821712,63.82345118174757,52.78581015513245,57.3900377767867,1.7309619184391962,-37.147087808220334,379.26437258632143,367.4607681274414,355.65716366856134,9.520098906376704,98776336.0,0.10423822528708242,0
2015-03-17,370.6069030761719,376.02304681597855,369.49823106998696,375.6413979426241,10007444,371.9063812255859,334.8265966796876,369.59381122695066,358.90575031387175,10.688060913078914,13.396118540073154,60.23582808077288,48.99001933031578,51.6617929270826,0.7037626690838572,-51.20091379882279,379.49411863602614,367.880158996582,356.26619935713785,9.306150109206339,88768892.0,0.025197502199398304,0
2015-03-18,364.69085693359375,373.0877069364139,362.6007297238659,370.7703919864983,18927840,371.45837097167964,336.3098883056642,368.8395105664342,359.33427673014745,9.505233836286777,12.617941599315879,54.26251791695436,46.343085513664256,49.37297166637082,-1.2135576821812097,-72.6227418519641,379.30898214180314,368.0773574829101,356.84573282401703,9.39049490230217,69841052.0,-0.058293162587951614,0
2015-03-19,356.1031494140625,365.8267843953648,353.3223626850758,359.8653694014661,10163240,370.06434326171876,337.719158935547,366.8800703891463,359.094933965993,7.78513642315329,11.651380564083363,46.979680491922466,28.34180220482476,41.22496901626826,-3.7672003069873012,-91.15093773473883,379.81579529568614,367.40623931884767,354.9966833420092,9.612918245729801,59677812.0,-0.14242532265609192,1
2015-03-20,356.1940612792969,358.0479044991361,351.05052159394995,356.21223186256896,6271108,368.15232849121094,339.28281738281254,365.236068987631,358.88005450771925,6.356014479911721,10.592307347249035,47.06068459185018,17.163546464918262,30.61614472780242,-5.094437473288982,-84.73568101854228,379.74892749636786,366.6033584594726,353.4577894225773,9.426094292833827,65948920.0,-0.13688093524054964,0
2015-03-23,352.0137634277344,358.9929527082488,349.59647711849783,356.4302795643441,3897136,365.8095703125,340.89498962402354,363.2018681322623,358.3714403536463,4.830427778616013,9.43993143352243,43.75073517106462,10.33011197444762,18.611820214730212,-6.24001114573652,-93.12304532337603,380.6626668342841,366.0222091674804,351.3817515006767,9.423978671185054,62051784.0,-0.13263787278596118,1
2015-03-24,352.72265625,355.8669440479289,349.08765171427035,352.2319395121993,5298696,363.9293701171875,342.39573486328135,361.58968168883735,357.95301190152435,3.6366697873129965,8.279279104280544,44.46407287369035,10.778321178406536,12.757326539257472,-5.0607682526539906,-89.80631012286209,381.1895700986391,365.74685821533205,350.304146332025,9.235072504218875,67350480.0,-0.11332799760046798,1
2015-03-25,366.09954833984375,369.970815468216,352.26833615436044,353.3224965102424,7518574,363.1160461425781,344.1232971191407,362.2835073274537,358.55645904510357,3.727048282350154,7.3688329398944665,55.84374790799896,21.592441539784087,14.233624897546079,-2.173310304447739,-52.293319934409624,381.2214575466292,366.09446105957034,350.96746457251146,9.839887276335782,74869054.0,-0.07584102491310651,0
2015-03-26,358.9203796386719,367.1354815391837,355.5398074556505,365.6814796320978,7048128,361.70020751953126,345.59868347167975,361.76610306764115,358.58341612610866,3.182686941532495,6.531603740222073,49.93050875866643,28.491471690144564,20.28741146944506,-3.795012615495485,-72.42595487229461,381.2799204592001,366.0181304931641,350.7563405271281,9.965300619707026,67820926.0,-0.09575608167092536,0
2015-03-27,349.99627685546875,364.59082368715616,347.10646703889194,357.46622623638336,4280330,360.1207824707032,346.8664489746095,359.9553605734608,357.94733173569085,2.0080288377699276,5.626888759731644,43.73152378019625,27.65270367405659,25.912205634661746,-4.317840213898889,-92.322614171126,382.174685299956,365.5660202026367,348.9573551053174,10.502376050318254,63540596.0,-0.10113328176512432,1
