Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Stoch_K,Stoch_D,ROC,Williams_R,BB_Upper,BB_Middle,BB_Lower,ATR,OBV,CMF,Target
2015-03-16,117.3742446899414,121.63229230812672,113.94928229090924,121.26203221072532,10785285,131.35641326904295,136.7150860595703,129.68051037066996,134.13067497686757,-4.450164606197603,-1.737590381424618,30.580629504187574,15.095728843471854,14.064041338808817,-18.27263433598893,-89.97288854456458,155.38183550071312,136.76923904418948,118.15664258766581,5.908421290048512,-48296353.0,-0.19114058224171254,1
2015-03-17,124.27043914794922,124.7332713235468,117.37424255644876,118.48503695297951,9699896,129.29217910766602,136.2670634460449,128.8481917210206,133.40028713768842,-4.552095416667811,-2.3004913884732567,40.30048540263434,17.74988118474404,15.877885999563537,-14.244666002036011,-69.78320398967999,155.10860743142786,135.8759708404541,116.64333424948033,6.012036109837764,-38596457.0,-0.12273604205937844,0
2015-03-18,123.25221252441406,124.77956730019496,122.00257402552228,124.0390329353786,4154051,126.92710647583009,135.76813034057616,127.98727184461961,132.6485779070755,-4.661306062455878,-2.7726543232697813,39.422785411806196,22.49322875672483,18.44627959498024,-16.0995596852369,-72.76422119558093,154.98853695211278,135.05212898254393,115.11572101297509,5.780961621611686,-42750508.0,-0.09983079393201497,0
2015-03-19,122.46541595458984,126.0755018482876,121.5397514562551,124.03904277685504,4626972,125.00172576904296,135.31362945556637,127.13775555384579,131.89426961429876,-4.756514060452972,-3.1694262707064196,38.721030570724935,27.461627993629897,22.568245978366257,-13.585882463397063,-75.06769083384938,154.68619930904558,134.15654830932618,113.62689730960678,5.69201796235603,-47377480.0,-0.12733432999075003,0
2015-03-20,122.23397064208984,124.96467743521544,120.845474226143,122.32652859511006,4836454,123.5160316467285,134.918370513916,126.38332710588334,131.17869191265365,-4.7953648067703085,-3.4946139779191974,38.50390374208584,25.474268298867866,25.143041683074195,-10.837291123826994,-75.74528307396606,153.60332232030416,133.03649253845214,112.4696627566001,5.579674051407202,-52213934.0,-0.17261566237033318,1
2015-03-23,125.79779052734376,126.63089698998289,122.14141884967384,122.14141884967384,6306085,123.06245651245119,134.6776979064941,126.29324455533879,130.78010662485292,-4.486862069514132,-3.6930635962381846,43.73570792870144,27.958460471906385,26.964785588134717,-3.4801105515059882,-65.31164467646538,152.09288279932866,132.0807430267334,112.06860325413813,5.501802914900191,-45907849.0,-0.12464865963224452,0
2015-03-24,122.97452545166016,125.79779066989008,122.18770503458468,125.70523270139304,4386125,122.58111038208008,134.31298614501952,125.78267238554207,130.20191542683864,-4.419243041296568,-3.8382994852498613,40.776125228579964,28.455292950182862,27.29600724031904,-3.7667557224494903,-73.57719339901996,150.73211212331518,131.0625114440918,111.39291076486843,5.366680252071991,-50293974.0,-0.10577621906014635,1
2015-03-25,123.0207977294922,124.45558042827032,122.51169358999012,123.1133698227753,2895061,122.81715316772463,133.90384277343747,125.35776859230363,129.66998078259076,-4.312212190287127,-3.9330820262573147,40.84677758220387,30.94212385348538,29.118625758524875,1.9562577662648117,-68.28479036405851,149.34731064818027,130.10213470458984,110.85695876099942,5.122195008229721,-47398913.0,-0.10976023212817684,0
2015-03-26,119.9198226928711,123.48362206448772,118.99415831720172,122.55795768881832,7955596,122.32192153930664,133.504881439209,124.52116153085247,128.94774685001892,-4.426585319166449,-4.031782684839142,37.608748313572725,27.416728041154364,28.938048281607536,-3.9659097095228204,-75.88783211345842,147.85490082686056,128.98670921325683,110.11851759965309,5.076999918162313,-55354509.0,-0.13467850510509352,1
2015-03-27,123.99275207519533,124.4555843069986,120.38266631693725,121.2620447324597,5241353,122.5301971435547,133.1762705993652,124.43986776844368,128.580710200032,-4.140842431588325,-4.053594634188979,43.89924540426394,37.15612914191563,31.83832701218512,1.7084374622746852,-44.358990096736186,146.68035288495017,128.25543403625488,109.8305151875596,5.038340039302684,-50113156.0,-0.084927467937239,0
