Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Stoch_K,Stoch_D,ROC,Williams_R,BB_Upper,BB_Middle,BB_Lower,ATR,OBV,CMF,Target
2015-03-16,251.0457000732422,253.0066573487706,249.5749957173538,250.9120046229825,15132928,258.9251708984375,269.87080780029294,257.89530183296705,262.7589768990881,-4.863675066121061,-3.919270814571366,36.88748494122242,5.592320903368293,6.231188139513796,-6.085365715825954,-95.28573073495238,277.9084535107348,263.2370208740234,248.56558823731203,7.944194344912634,-208416295.0,-0.04586106457039802,1
2015-03-17,252.33819580078125,253.1403958402526,249.12936844137536,253.05125645775124,11350496,257.24054260253905,269.31996002197263,257.0403624434,261.9870671881024,-4.9467047447024015,-4.124757600597573,38.70126218388936,5.666003338306011,5.590850997716224,-6.2582668349236,-89.8591203386658,276.76543846665083,262.17409973144527,247.58276099623967,7.6632538487672495,-197065799.0,-0.23157286443552283,1
2015-03-18,256.08172607421875,257.10678785456537,251.35763947532283,253.22945712448404,12394230,255.8767852783203,268.82169952392576,256.89287992506445,261.5496345129999,-4.656754587935438,-4.2311569980651464,43.7440835263473,12.27557787570568,7.844634039126661,-5.056209650830116,-78.02841529926478,275.13580668247766,261.30949707031255,247.48318745814743,7.526532029515485,-184671569.0,-0.17715933471466488,0
2015-03-19,251.0011444091797,258.7557797538569,250.1098051372732,258.4883888528913,11046649,254.78489532470704,268.2663940429687,255.98645907646682,260.7682648756799,-4.781805799213089,-4.341286758294735,39.04894775052748,12.67595037044194,10.205843861484542,-4.168791121008143,-94.0846132507436,273.7409580965462,260.23543014526365,246.7299021939811,7.606492214306073,-195718218.0,-0.21752213923899993,0
2015-03-20,248.01515197753903,251.71420450922795,246.72269915491145,251.17939550670903,11482652,253.3988616943359,267.88044403076174,254.76010413817022,259.823589846188,-5.063485708017765,-4.485726548239342,36.564936241910374,10.560938146238211,11.837488797461944,-5.292719984859824,-96.20415701127699,272.9789188027775,259.16136474609374,245.34381068941,7.419707438592533,-207200870.0,-0.2433544622639451,0
2015-03-23,244.8954925537109,249.57502425855893,243.82587442628096,249.04021519484397,13058026,251.98162994384765,267.4276440429688,253.24247158671494,258.71780486156007,-5.475333274845127,-4.683647893560499,34.12268347241707,4.202105215582429,9.146331244087527,-5.470505000863447,-97.10491409123212,272.2558693776537,257.9335456848145,243.61122199197524,7.3003818952843496,-220258896.0,-0.2783152409199634,0
2015-03-24,241.1518402099609,246.36618063041524,239.770275155656,244.04869297671144,17585259,250.4618927001953,266.8161849975586,251.38237445182972,257.4166222947749,-6.034247842945206,-4.953767883437441,31.41133582405893,3.3534897380747157,6.038844366631785,-5.92838662527169,-96.63045968326674,272.59126488527284,256.77480316162115,240.9583414379695,7.250062150961127,-237844155.0,-0.28346473240215536,0
2015-03-25,236.5614776611328,242.5334626818301,236.20494733187937,242.35518391644308,15824629,248.7014953613281,266.14233276367185,249.1022364840302,255.871796766357,-6.7695602823268075,-5.316926363215314,28.428482696834525,2.514869262255166,3.3568214053041032,-6.926186590648117,-98.72001843873565,273.20571365686254,255.39991378784185,237.59411391882114,7.1842373794603835,-253668784.0,-0.33795463493400335,0
2015-03-26,228.76223754882807,237.0071264934978,227.4697982181939,235.75925685028383,22253318,246.00965118408203,265.24297180175773,245.97300587861446,253.86368126876226,-7.8906753901478055,-5.831676168601812,24.220131734266772,2.7955411068550333,2.8879667023949716,-10.52814856559231,-96.26289855743252,274.646743514619,253.6662605285645,232.68577754250998,7.352315300592063,-275922102.0,-0.3464106017219597,1
2015-03-27,234.95706176757807,236.16037534916344,228.18287716154117,231.61453915290716,19423101,244.48100280761716,264.50315979003904,244.27824524614732,252.4631909353412,-8.184945689193881,-6.302330072720227,32.73727771091406,9.03110919805237,4.7805065223875225,-6.108642575430538,-77.92375540967473,274.9760785331772,252.51643447875983,230.05679042434247,7.396971221094221,-256499001.0,-0.2623717876662138,1
2015-03-30,238.7898101806641,240.08226313910055,234.5559482015689,236.29407084201543,12303870,243.25541381835936,263.8471340942382,243.43387062068837,251.45034791647623,-8.016477295787865,-6.645159517333755,37.423446157773995,20.412905931784728,10.746518745564043,-4.881935794559501,-64.57462823753856,273.2137910339867,251.09029235839847,228.96679368281025,7.263352915125466,-244195131.0,-0.293118524366757,0
2015-03-31,238.03219604492188,241.86497211037653,237.09630047628224,239.6811795148546,19482636,241.82481384277344,262.8978579711913,242.60284376287814,250.45641074080552,-7.853566977927386,-6.886841009452482,36.876535969598265,30.185358404458775,19.87645784476529,-5.669375462743592,-66.94554113941038,270.65624815478816,249.53267822265624,228.40910829052433,7.085161395051811,-263677767.0,-0.33347953025947313,1
2015-04-01,243.7367401123047,244.80633094106767,234.5559290900363,237.6756166099154,12383589,240.59031524658204,262.1491326904296,242.77728935509762,249.9586573609166,-7.1813680058189675,-6.945746408725779,43.56433806852935,39.79545164082425,30.13123865902258,-4.8207211624058575,-49.0934757005783,267.2172734288382,248.2335502624512,229.2498270960642,7.311249999050351,-251294178.0,-0.30539914551321573,1
