Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Stoch_K,Stoch_D,ROC,Williams_R,BB_Upper,BB_Middle,BB_Lower,ATR,OBV,CMF,Target
2015-03-16,276.6227722167969,277.91637445135973,271.78217894191624,274.9953263024417,12496540,283.2368530273437,288.5089288330079,280.1763836288571,282.70829922810054,-2.5319155992434617,-2.6367124915068616,47.147016398082044,31.38197017649727,32.93514590151665,-1.133471381538225,-72.99877464946778,294.9105506593776,280.48899078369146,266.06743090800535,8.819466329791737,-93221212.0,-0.11944049471454328,1
2015-03-17,279.4603576660156,280.83742081175666,275.5378065191232,277.08179150369733,11214858,282.051742553711,288.21765808105476,280.06622578841996,282.4677109642424,-2.4014851758224722,-2.589667028369984,49.62611749143239,28.713733012914588,30.8111731220702,-4.068190327492147,-64.8745350809222,294.2117564587393,280.1134262084961,266.0150959582529,8.568048327137575,-82006354.0,-0.10991494459282092,0
2015-03-18,279.41864013671875,280.8791641962427,276.288953728145,277.9998325285315,9603665,280.89584960937503,287.75863586425794,279.9665972266198,282.24185386590733,-2.2752566392875337,-2.526784950553494,49.589290440973215,32.377571495072054,30.824424894827967,-3.972446900302504,-64.99397578439385,294.04656914773045,279.9778060913086,265.90904303488674,8.283917051491871,-91610019.0,-0.07186088469959652,0
2015-03-19,275.57958984375,284.9269339721651,274.035604641474,283.34120429608413,15488184,279.29762268066406,287.21031494140635,279.2916730138706,281.74835282722904,-2.4566798133584484,-2.512763923114485,46.19214112355633,29.531090012398142,30.20746484012826,-5.4816049447455955,-81.53821909748953,293.392402212934,279.4687133789062,265.54502454487846,8.47016078572039,-107098203.0,-0.1156146106705461,0
2015-03-20,265.8984069824219,274.786730164399,264.31270529299724,274.49463090798207,23389273,276.8648162841797,286.7254217529298,277.23117054749383,280.5742827646508,-3.3431122171569427,-2.6788335819229765,38.9463922123399,19.220682154373897,27.043114553948026,-8.382441438039667,-95.80575865499493,293.72672847694776,278.63621826171874,263.5457080464897,8.669926768936989,-130487476.0,-0.1666504891830644,0
2015-03-23,261.89239501953125,269.06981035730195,260.7656865529336,268.77771113130365,11517028,275.2791107177735,286.31731018066415,274.87135892780725,279.1904392279753,-4.319080300168025,-3.006882925571986,36.4018637747614,8.460196698809625,19.07065628852722,-5.709122241298855,-97.27543215108668,294.753429175168,277.9205627441406,261.08769631311327,8.643797985753515,-142004504.0,-0.17886336725205448,0
2015-03-24,260.306640625,264.27093608185965,258.26191822181704,259.1382438325642,18209548,273.4638916015625,285.72392028808605,272.63063303506766,277.79163933145855,-5.1610062963908945,-3.4377075997357682,35.41548960462127,3.8603375220453833,10.513738791742966,-6.518806045982159,-95.33779662778225,295.7586819981183,277.20699005126954,258.6552981044208,8.455599405345595,-160214052.0,-0.1757372664463473,1
2015-03-25,264.4795837402344,266.2322070074426,259.63899051743874,260.3901107724678,15109255,272.1494171142578,285.30746337890633,271.37662545124715,276.80556113951604,-5.4289356882688935,-3.835953217442394,40.02130283674673,8.601538625138346,6.974024281997785,-4.734723696119924,-81.58215534571605,296.1175894764745,276.8251647949219,257.53274011336924,8.322572054249756,-145104797.0,-0.1297032492892053,0
2015-03-26,257.01007080078125,261.8089195777983,252.54503768507044,259.5555307859796,34971712,269.62480468750005,284.66316528320317,269.16638627425243,275.339228521832,-6.172842247579581,-4.303331023469831,35.18444660374512,11.802418818440064,8.088098321874597,-8.944400409515826,-87.6727915711815,297.21597921996874,276.2180053710938,255.22003152221885,8.580570197172197,-180076509.0,-0.08591056847768429,1
2015-03-27,262.5183410644531,263.89540430318795,257.2604428682488,261.2247107343477,17383920,268.3186798095703,284.22333984375,268.14361008812944,274.3895331546188,-6.245923066489354,-4.691849432073736,40.860628468805956,19.42655764606452,13.27683836321431,-4.739555925278222,-72.46538014490889,297.532510393578,275.9363357543945,254.34016111521106,8.459481861831804,-162692589.0,-0.02321456312558763,1
